iter	RMSE
0	35.84659842
1	34.75561951
2	33.79357798
3	32.86838761
4	31.99373073
5	31.08088328
6	30.30746576
7	29.57015925
8	28.88204299
9	28.16148442
10	27.48395547
11	26.89976358
12	26.33177046
13	25.82917286
14	25.2657986
15	24.79819642
16	24.29976452
17	23.86526289
18	23.47140871
19	23.05022479
20	22.64968668
21	22.32027322
22	22.02268167
23	21.70909477
24	21.42032779
25	21.17458525
26	20.92885083
27	20.64335819
28	20.39898404
29	20.16771572
30	19.97758037
31	19.76869959
32	19.58844566
33	19.38440514
34	19.20372334
35	19.01227158
36	18.8763979
37	18.72299027
38	18.58519332
39	18.47735547
40	18.32952203
41	18.1811306
42	18.06250464
43	17.92310841
44	17.81777569
45	17.72774007
46	17.59280774
47	17.51539338
48	17.4367854
49	17.35784307
50	17.263668
51	17.17544918
52	17.10650561
53	17.01301934
54	16.95372391
55	16.88723173
56	16.78597218
57	16.72706469
58	16.68096408
59	16.61843221
60	16.53061523
61	16.46874241
62	16.4200705
63	16.35253515
64	16.30588362
65	16.23800125
66	16.16872115
67	16.11502896
68	16.07631314
69	16.03034957
70	15.96454749
71	15.93520362
72	15.90257466
73	15.85924401
74	15.82673529
75	15.78315682
76	15.73450529
77	15.68821017
78	15.65021033
79	15.61187993
80	15.5744618
81	15.52723209
82	15.48196038
83	15.45534654
84	15.40274012
85	15.35579685
86	15.30231681
87	15.26592094
88	15.22689535
89	15.18326768
90	15.16054308
91	15.13391662
92	15.11167479
93	15.09348156
94	15.065912
95	15.04368513
96	15.01449244
97	14.98369345
98	14.95098812
99	14.91098433
100	14.88468117
101	14.86017542
102	14.83637972
103	14.81132539
104	14.7748449
105	14.74772225
106	14.73043425
107	14.70287309
108	14.67856153
109	14.64921168
110	14.58621053
111	14.54486069
112	14.52922051
113	14.49251184
114	14.4747236
115	14.46331311
116	14.45636051
117	14.43508552
118	14.42332194
119	14.39188993
120	14.36493499
121	14.32287111
122	14.31464334
123	14.28548268
124	14.25741435
125	14.24590173
126	14.22125549
127	14.1939014
128	14.1675522
129	14.15493947
130	14.14620833
131	14.12696224
132	14.09577904
133	14.07672412
134	14.06887757
135	14.05579477
136	14.01783691
137	13.99497088
138	13.97039406
139	13.93483503
140	13.91641784
141	13.88561902
142	13.85827776
143	13.83185673
144	13.79547657
145	13.74699904
146	13.72581188
147	13.68556244
148	13.66486977
149	13.65156247
150	13.62990269
151	13.61027108
152	13.58419247
153	13.56055496
154	13.54019232
155	13.52687599
156	13.49606126
157	13.47727412
158	13.45489533
159	13.44079671
160	13.3934473
161	13.35986656
162	13.34961135
163	13.33568386
164	13.31282521
165	13.29726007
166	13.27244478
167	13.24101293
168	13.2369681
169	13.21946722
170	13.21256176
171	13.20591971
172	13.19890831
173	13.19332541
174	13.17749829
175	13.16265094
176	13.13238787
177	13.12222785
178	13.11586752
179	13.10727019
180	13.07237516
181	13.06378986
182	13.0566293
183	13.04243812
184	13.03272495
185	13.01591951
186	12.97106812
187	12.94651979
188	12.90909204
189	12.89180911
190	12.87477995
191	12.85164183
192	12.82765434
193	12.82410653
194	12.79623363
195	12.76841905
196	12.75012776
197	12.74416593
198	12.73493577
199	12.70353141
200	12.66393582
201	12.65460723
202	12.63859059
203	12.61488588
204	12.61263851
205	12.59996517
206	12.58577993
207	12.56408574
208	12.53564812
209	12.51074976
210	12.49454038
211	12.48224558
212	12.47755002
213	12.46020013
214	12.45164004
215	12.42837851
216	12.41809928
217	12.40679245
218	12.38970011
219	12.37704868
220	12.3687958
221	12.34610616
222	12.32321003
223	12.32017768
224	12.29011079
225	12.28685385
226	12.28513721
227	12.27013958
228	12.25682021
229	12.24480661
230	12.22223481
231	12.20571486
232	12.20349694
233	12.1983108
234	12.15960402
235	12.14355031
236	12.14197181
237	12.12935414
238	12.11330775
239	12.08676531
240	12.07200727
241	12.06046732
242	12.04456109
243	12.00993049
244	11.9930662
245	11.97313024
246	11.94730025
247	11.92585106
248	11.904146
249	11.88393282
250	11.87507898
251	11.85430339
252	11.84197664
253	11.81644888
254	11.80234361
255	11.78630011
256	11.76642388
257	11.74685617
258	11.73401139
259	11.72681752
260	11.71094173
261	11.70249933
262	11.67857113
263	11.65718507
264	11.65384866
265	11.64070933
266	11.60057251
267	11.58821307
268	11.55287996
269	11.53310544
270	11.51756439
271	11.50555007
272	11.48582201
273	11.47454179
274	11.46115175
275	11.43998942
276	11.40940675
277	11.37829291
278	11.35995057
279	11.33308355
280	11.32532308
281	11.31121099
282	11.29665782
283	11.27551721
284	11.27157291
285	11.25656525
286	11.25394626
287	11.23943749
288	11.23036902
289	11.21033404
290	11.1973204
291	11.17507832
292	11.16206988
293	11.15263748
294	11.13093221
295	11.11857961
296	11.0985284
297	11.09047157
298	11.08417115
299	11.07346335
