Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,month
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-07,86.0,86.0,37.0,14.367474072679261,4.068826163558235,7
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-08,83.0,83.0,35.0,14.543549351135788,4.247154203386412,8
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-09,52.0,51.0,35.0,9.23410712798914,3.5616387852559606,9
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-10,63.0,63.0,43.0,11.886142388827746,6.388999994948004,10
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-11,48.0,47.0,38.0,8.54031975677573,4.080220676293706,11
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2025-12,57.0,51.0,37.0,9.368367397481475,4.887901018024874,12
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-01,55.0,55.0,36.0,11.323738717162799,5.539131844085375,1
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-02,51.0,51.0,37.0,9.610734526549946,4.887901018024874,2
Jammu,Doda,Doda PCC Office Near Bus Stand 1065,2026-03,53.0189014994331,51.61904761904762,36.42857142857143,9.255646244990587,4.887384726107265,3
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-01,53.0189014994331,52.23809523809524,35.857142857142854,9.680712951340807,4.891972228131251,1
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-02,31.34285714285714,52.23809523809524,33.17116661972343,9.730346731378775,4.734001704514372,2
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-03,31.34285714285714,52.23809523809524,33.17116661972343,9.730346731378775,4.734001704514372,3
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-04,31.34285714285714,52.23809523809524,33.17116661972343,9.730346731378775,4.734001704514372,4
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-05,31.34285714285714,52.23809523809524,33.17116661972343,9.730346731378775,4.734001704514372,5
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-06,31.34285714285714,52.23809523809524,33.17116661972343,9.730346731378775,4.734001704514372,6
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-07,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,7
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-08,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,8
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-09,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,9
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-10,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,10
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-11,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,11
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2022-12,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,12
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-01,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,1
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-02,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,2
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-03,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,3
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-04,38.4,64.0,25.6,25.6,4.870275208158976,4
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-05,38.4,64.0,25.6,25.6,5.419801653135702,5
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-06,38.4,64.0,35.86830207979346,11.460111151733004,5.539131844085375,6
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-07,64.0,64.0,35.86830207979346,11.460111151733004,5.539131844085375,7
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-08,64.0,64.0,25.0,11.460111151733004,3.7809073163402283,8
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-09,59.0,59.0,27.0,11.447688783803194,4.420420672057543,9
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-10,52.0,52.0,26.0,8.560218632043112,2.8275697523425203,10
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-11,40.0,40.0,25.0,13.0,2.0,11
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2023-12,68.0,68.0,27.0,9.5,1.0,12
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-01,65.0,65.0,29.0,6.0,2.0,1
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-02,66.0,66.0,28.0,5.0,2.0,2
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-03,81.0,81.0,30.0,9.0,4.0,3
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-04,73.0,73.0,28.0,4.0,1.0,4
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-05,88.0,88.0,33.0,7.0,2.0,5
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-06,88.0,88.0,36.0,8.0,2.0,6
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-07,69.0,69.0,25.0,5.0,2.0,7
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-08,54.0,54.0,15.0,5.0,2.0,8
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-09,71.0,71.0,25.0,5.5,1.9327741224791535,9
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-10,86.0,86.0,12.0,6.0,1.0,10
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-11,96.0,96.0,12.0,14.0,2.0,11
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2024-12,113.0,113.0,40.0,25.0,4.0,12
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-01,115.0,115.0,66.0,19.0,3.0,1
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-02,94.0,77.0,59.0,15.0,2.0,2
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-03,84.0,84.0,45.0,20.0,2.0,3
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-04,102.0,102.0,46.0,10.0,4.7805665078334,4
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-05,105.0,105.0,51.0,13.0,5.728507474868713,5
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-06,97.0,97.0,42.0,16.0,4.081249287430726,6
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-07,73.0,73.0,28.0,19.0,2.0,7
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-08,53.0,53.0,28.0,17.0,2.0,8
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-09,61.0,61.0,23.0,12.0,2.0,9
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-10,67.0,67.0,24.0,15.0,2.0,10
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-11,80.0,80.0,39.0,20.333333333333332,2.0,11
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2025-12,105.0,105.0,58.0,25.666666666666664,3.0,12
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2026-01,120.0,120.0,54.0,31.0,3.0,1
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2026-02,110.0,110.0,63.0,32.0,3.0,2
Jammu,Jammu,Jammu Bantalab Ayurvedic Hospital,2026-03,93.0,93.0,48.0,28.0,2.0,3
Jammu,Jammu,Jammu Belicharana,2022-01,91.65263656711936,91.2,46.85,27.0,4.876989980250364,1
Jammu,Jammu,Jammu Belicharana,2022-02,91.65263656711936,89.4,45.7,26.0,5.166056676381861,2
Jammu,Jammu,Jammu Belicharana,2022-03,53.64,89.4,32.99920188168114,15.292753038577914,3.623796294796823,3
Jammu,Jammu,Jammu Belicharana,2022-04,53.64,89.4,33.23335634370523,14.923230876000602,3.623796294796823,4
Jammu,Jammu,Jammu Belicharana,2022-05,53.64,89.4,33.23335634370523,14.923230876000602,3.623796294796823,5
Jammu,Jammu,Jammu Belicharana,2022-06,53.64,89.4,33.23335634370523,14.923230876000602,3.623796294796823,6
Jammu,Jammu,Jammu Belicharana,2022-07,52.95,88.25,33.23335634370523,14.90963550127229,3.623796294796823,7
Jammu,Jammu,Jammu Belicharana,2022-08,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,8
Jammu,Jammu,Jammu Belicharana,2022-09,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,9
Jammu,Jammu,Jammu Belicharana,2022-10,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,10
Jammu,Jammu,Jammu Belicharana,2022-11,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,11
Jammu,Jammu,Jammu Belicharana,2022-12,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,12
Jammu,Jammu,Jammu Belicharana,2023-01,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,1
Jammu,Jammu,Jammu Belicharana,2023-02,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,2
Jammu,Jammu,Jammu Belicharana,2023-03,94.39309303217156,97.17726946547947,45.4194897078592,16.90828403592742,5.830875792682721,3
Jammu,Jammu,Jammu Belicharana,2023-04,34.199999999999996,57.0,22.8,22.8,4.161936106835946,4
Jammu,Jammu,Jammu Belicharana,2023-05,34.199999999999996,57.0,22.8,22.8,4.606001340947207,5
Jammu,Jammu,Jammu Belicharana,2023-06,34.199999999999996,57.0,29.10033320848771,9.89241322172378,4.0058110057011405,6
Jammu,Jammu,Jammu Belicharana,2023-07,57.0,57.0,29.10033320848771,9.89241322172378,4.0058110057011405,7
Jammu,Jammu,Jammu Belicharana,2023-08,57.0,57.0,25.0,9.89241322172378,3.3133587604700696,8
Jammu,Jammu,Jammu Belicharana,2023-09,56.0,56.0,28.0,9.63543983248399,4.0058110057011405,9
Jammu,Jammu,Jammu Belicharana,2023-10,56.0,56.0,32.0,9.904940069333861,4.734001704514372,10
Jammu,Jammu,Jammu Belicharana,2023-11,41.0,41.0,19.0,5.0,2.0,11
Jammu,Jammu,Jammu Belicharana,2023-12,44.40844703694468,50.0,24.0,6.0,2.0,12
Jammu,Jammu,Jammu Belicharana,2024-01,59.0,59.0,27.0,7.0,2.0,1
Jammu,Jammu,Jammu Belicharana,2024-02,53.0,53.0,25.0,5.0,2.0,2
Jammu,Jammu,Jammu Belicharana,2024-03,51.0,51.0,25.0,5.0,2.0,3
Jammu,Jammu,Jammu Belicharana,2024-04,56.0,56.0,17.0,4.0,2.0,4
Jammu,Jammu,Jammu Belicharana,2024-05,54.0,54.0,22.0,3.0,2.0,5
Jammu,Jammu,Jammu Belicharana,2024-06,60.0,60.0,26.0,3.0,2.0,6
Jammu,Jammu,Jammu Belicharana,2024-07,59.0,59.0,28.0,3.0,2.0,7
Jammu,Jammu,Jammu Belicharana,2024-08,48.0,48.0,30.0,2.0,1.0,8
Jammu,Jammu,Jammu Belicharana,2024-09,53.0,53.0,33.79000186178333,2.5,2.412290881904745,9
Jammu,Jammu,Jammu Belicharana,2024-10,74.0,74.0,36.62135318745255,3.0,1.0,10
Jammu,Jammu,Jammu Belicharana,2024-11,97.0,97.0,45.21788194194229,6.0,1.0,11
Jammu,Jammu,Jammu Belicharana,2024-12,92.0,92.0,33.01759658875398,17.0,3.0,12
Jammu,Jammu,Jammu Belicharana,2025-01,94.0,94.0,40.0,22.0,3.0,1
Jammu,Jammu,Jammu Belicharana,2025-02,69.0,43.0,40.0,11.0,1.0,2
Jammu,Jammu,Jammu Belicharana,2025-03,80.0,80.0,42.0,21.0,2.0,3
Jammu,Jammu,Jammu Belicharana,2025-04,88.0,88.0,44.0,4.0,2.3066202790604384,4
Jammu,Jammu,Jammu Belicharana,2025-05,95.0,95.0,39.0,7.333333333333334,2.522414681598501,5
Jammu,Jammu,Jammu Belicharana,2025-06,84.0,84.0,33.0,10.666666666666668,3.613347095493395,6
Jammu,Jammu,Jammu Belicharana,2025-07,63.0,63.0,27.0,14.0,2.0,7
Jammu,Jammu,Jammu Belicharana,2025-08,45.0,45.0,24.0,12.0,1.0,8
Jammu,Jammu,Jammu Belicharana,2025-09,60.0,60.0,23.0,14.0,2.0,9
Jammu,Jammu,Jammu Belicharana,2025-10,68.0,68.0,26.0,14.0,2.0,10
Jammu,Jammu,Jammu Belicharana,2025-11,67.0,67.0,44.0,22.0,2.0,11
Jammu,Jammu,Jammu Belicharana,2025-12,91.0,80.5,48.0,27.0,3.0,12
Jammu,Jammu,Jammu Belicharana,2026-01,94.0,94.0,46.0,26.0,2.0,1
Jammu,Jammu,Jammu Belicharana,2026-02,86.0,86.0,39.0,24.0,2.0,2
Jammu,Jammu,Jammu Belicharana,2026-03,69.0,69.0,41.0,20.0,2.0,3
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-01,92.0,92.0,27.0,22.0,4.0,1
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-02,113.0,113.0,44.0,14.0,2.0,2
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-03,94.0,94.0,41.0,16.0,2.0,3
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-04,87.64132130455128,89.4,38.6,14.6,4.068826163558235,4
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-05,87.64132130455128,84.8,36.2,13.2,4.068826163558235,5
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-06,50.879999999999995,84.8,33.23335634370523,14.86884937708735,3.623796294796823,6
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-07,71.0,71.0,27.06436362331805,12.934260124790098,3.174596354108113,7
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-08,71.0,71.0,29.0,9.0,2.0,8
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-09,301.0,301.0,32.5,15.0,2.0,9
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-10,157.0,157.0,36.0,24.0,2.0,10
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-11,131.0,143.0,12.0,19.5,9.786925967041384,11
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2022-12,176.0,129.0,15.0,15.0,1.0,12
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-01,115.0,115.0,18.0,23.0,2.0,1
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-02,139.0,139.0,44.0,5.0,4.46691097414514,2
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-03,115.0,115.0,72.0,8.0,5.222360905510148,3
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-04,94.0,94.0,44.0,11.0,2.0,4
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-05,90.0,90.0,14.0,15.0,2.0,5
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-06,92.0,92.0,32.0,16.0,2.0,6
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-07,94.0,94.0,26.0,20.0,2.0,7
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-08,87.0,87.0,17.0,18.0,2.0,8
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-09,91.0,91.0,4.0,14.0,2.0,9
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-10,86.0,86.0,29.0,16.0,2.0,10
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-11,82.0,82.0,31.0,18.0,4.0,11
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2023-12,97.3598233169599,99.0,32.0,13.0,1.0,12
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-01,89.0,89.0,35.0,18.0,2.0,1
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-02,90.0,90.0,32.0,15.0,2.0,2
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-03,98.0,98.0,34.0,17.0,3.0,3
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-04,96.0,96.0,22.0,13.0,2.0,4
