Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,month,year,month_sin,month_cos,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_lag_6,AQI_lag_12,PM10_lag_1,PM10_lag_2,PM10_lag_3,PM10_lag_6,PM10_lag_12,PM2_5_lag_1,PM2_5_lag_2,PM2_5_lag_3,PM2_5_lag_6,PM2_5_lag_12,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_6,NO2_lag_12,SO2_lag_1,SO2_lag_2,SO2_lag_3,SO2_lag_6,SO2_lag_12,AQI_roll_mean_3,AQI_roll_mean_6,AQI_roll_std_3,PM2_5_roll_mean_3
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-01-01,102.0,61.0,40.0,12.0,6.0,1,2023,0.49999999999999994,0.8660254037844387,121.0,121.0,40.8,94.39309303217156,164.2903716200599,68.0,68.0,68.0,97.17726946547948,147.53846153846155,53.0,38.544981235656415,38.544981235656415,45.4194897078592,116.46153846153848,13.0,13.59486616291406,13.59486616291406,16.90828403592742,18.923076923076923,8.0,5.284183023468941,5.284183023468941,5.830875792682721,5.783397028004617,94.26666666666667,76.46551550536192,46.30349158900798,43.36332082377095
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-02-01,107.0,63.0,44.0,14.0,8.0,2,2023,0.8660254037844386,0.5000000000000001,102.0,121.0,121.0,40.8,88.52307692307693,61.0,68.0,68.0,68.0,147.53846153846155,40.0,53.0,38.544981235656415,27.200000000000003,35.64122228073511,12.0,13.0,13.59486616291406,27.200000000000003,27.819857043856565,6.0,8.0,5.284183023468941,5.158642032054903,9.608297272806672,114.66666666666667,77.73333333333333,10.969655114602892,43.84832707855213
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-03-01,115.0,81.0,33.0,14.0,7.0,3,2023,1.0,6.123233995736766e-17,107.0,102.0,121.0,40.8,88.52307692307693,63.0,61.0,68.0,68.0,147.53846153846155,44.0,40.0,53.0,27.200000000000003,38.1225495374839,14.0,12.0,13.0,27.200000000000003,26.33232185958724,8.0,6.0,8.0,5.20142161540604,9.73620754577073,110.0,88.76666666666667,9.848857801796107,45.666666666666664
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-04-01,90.74482253013043,79.11111111111111,32.888888888888886,15.2,4.559788422599942,4,2023,0.8660254037844387,-0.4999999999999998,115.0,107.0,102.0,40.8,88.52307692307693,81.0,63.0,61.0,68.0,147.53846153846155,33.0,44.0,40.0,38.544981235656415,38.1225495374839,14.0,14.0,12.0,13.59486616291406,26.33232185958724,7.0,8.0,6.0,5.284183023468941,9.73620754577073,108.0,101.13333333333333,6.557438524302005,39.0
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-05-01,90.74482253013043,77.22222222222223,32.77777777777778,16.4,4.559788422599942,5,2023,0.49999999999999994,-0.8660254037844387,90.74482253013043,115.0,107.0,121.0,88.52307692307693,79.11111111111111,81.0,63.0,68.0,147.53846153846155,32.888888888888886,33.0,44.0,38.544981235656415,38.1225495374839,15.2,14.0,14.0,13.59486616291406,26.33232185958724,4.559788422599942,7.0,8.0,5.284183023468941,9.73620754577073,104.24827417671014,109.45747042168841,12.35950665595667,36.629629629629626
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-06-01,46.333333333333336,77.22222222222223,29.71503698215724,12.560768303810477,3.9322604420830616,6,2023,1.2246467991473532e-16,-1.0,90.74482253013043,90.74482253013043,115.0,121.0,88.52307692307693,77.22222222222223,79.11111111111111,81.0,68.0,147.53846153846155,32.77777777777778,32.888888888888886,33.0,53.0,38.1225495374839,16.4,15.2,14.0,13.0,26.33232185958724,4.559788422599942,4.559788422599942,7.0,8.0,9.73620754577073,98.82988168675361,104.41494084337683,14.003733241471338,32.888888888888886
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-07-01,46.333333333333336,77.22222222222223,29.55466926072707,12.029465440482111,3.9322604420830616,7,2023,-0.4999999999999997,-0.8660254037844388,46.333333333333336,90.74482253013043,90.74482253013043,102.0,94.39309303217156,77.22222222222223,77.22222222222223,79.11111111111111,61.0,97.17726946547948,29.71503698215724,32.77777777777778,32.888888888888886,40.0,45.4194897078592,12.560768303810477,16.4,15.2,12.0,16.90828403592742,3.9322604420830616,4.559788422599942,4.559788422599942,6.0,5.830875792682721,75.94099279786474,91.97049639893237,25.640985242882962,31.793901216274634
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-08-01,46.333333333333336,77.22222222222223,29.55466926072707,12.029465440482111,3.9322604420830616,8,2023,-0.8660254037844384,-0.5000000000000004,46.333333333333336,46.333333333333336,90.74482253013043,107.0,40.8,77.22222222222223,77.22222222222223,77.22222222222223,63.0,68.0,29.55466926072707,29.71503698215724,32.77777777777778,44.0,27.200000000000003,12.029465440482111,12.560768303810477,16.4,14.0,27.200000000000003,3.9322604420830616,3.9322604420830616,4.559788422599942,8.0,5.158642032054903,61.13716306559903,82.69271862115458,25.640985242882966,30.682494673554032
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-09-01,38.4,64.0,29.577561820111686,9.857667153542332,3.3252513481053163,9,2023,-1.0,-1.8369701987210297e-16,46.333333333333336,46.333333333333336,46.333333333333336,115.0,40.8,77.22222222222223,77.22222222222223,77.22222222222223,81.0,68.0,29.55466926072707,29.55466926072707,29.71503698215724,33.0,27.200000000000003,12.029465440482111,12.029465440482111,12.560768303810477,14.0,27.200000000000003,3.9322604420830616,3.9322604420830616,3.9322604420830616,7.0,5.20142161540604,46.333333333333336,72.58160751004348,0.0,29.60812516787046
Kashmir,Anantnag,"Anantnag (PM-10, PM-2.5) 1084",2023-10-01,38.4,64.0,30.94085805744956,11.78740715637866,5.82037215192764,10,2023,-0.8660254037844386,0.5000000000000001,38.4,46.333333333333336,46.333333333333336,90.74482253013043,40.8,64.0,77.22222222222223,77.22222222222223,79.11111111111111,68.0,29.577561820111686,29.55466926072707,29.55466926072707,32.888888888888886,38.544981235656415,9.857667153542332,12.029465440482111,12.029465440482111,15.2,13.59486616291406,3.3252513481053163,3.9322604420830616,3.9322604420830616,4.559788422599942,5.284183023468941,43.68888888888889,59.81494084337681,4.580312135571034,29.562300113855276
